No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Dream Rare,DM1/DM1,ハイパー・ザ・ジョニー,Hyper the Johnny,Colourless,DM24-RP3,https://duelmasters.fandom.com/wiki/Hyper_the_Johnny,880,7.66,0
2,Over Rare,OR1/OR1,超天使ゴルドラン・ゴルギーニ,"Gordran Gorghini, Hyper Angel",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Gordran_Gorghini,_Hyper_Angel",120,1.04,0
3,Super Rare,S1/S11,喜びの夜エルボロム・ハッピー,"Elbollom Happy, Night of Happiness",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Elbollom_Happy,_Night_of_Happiness",180,1.57,0
4,Super Rare,S2/S11,楯教の求道者ザゼ・ゼーン,"Zaze Zane, Seeker of Shield Sect",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Zaze_Zane,_Seeker_of_Shield_Sect",500,4.35,0
5,Super Rare,S3/S11,楽しみの夜フミビロム・パラダイス,"Fumibillom Paradise, Night of Enjoyment",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Fumibillom_Paradise,_Night_of_Enjoyment",120,1.04,0
6,Super Rare,S4/S11,ヨビニオン・ハルカス,Yobinion Hulcus,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Hulcus,420,3.65,0
7,Super Rare,S5/S11,超暴淵ボウダン＝ロウ,"Boudan = Low, Hyper Violent Abyss",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Boudan_%3D_Low,_Hyper_Violent_Abyss",120,1.04,0
8,Super Rare,S6/S11,幽幻人形キヨ&ヨン&シー,"Kiyo, Yon and Shi, Phantom Dolls",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Kiyo,_Yon_and_Shi,_Phantom_Dolls",180,1.57,0
9,Super Rare,S7/S11,怒りの夜アゲブロム・バイオレンス,"Agebullom Violence, Night of Anger",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Agebullom_Violence,_Night_of_Anger",180,1.57,0
10,Super Rare,S8/S11,疾駆竜ボルシャック・アッシュ・レイダー,"Bolshack Ashraider, Dashing Dragon",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Bolshack_Ashraider,_Dashing_Dragon",120,1.04,0
11,Super Rare,S9/S11,哀しみの夜シンベロム・カタルシス,"Shinbellom Catharsis, Night of Sorrowness",Nature,DM24-RP3,"https://duelmasters.fandom.com/wiki/Shinbellom_Catharsis,_Night_of_Sorrowness",180,1.57,0
12,Super Rare,S10/S11,ヨビニオン・マルル,Yobinion Malulu,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Malulu,3980,34.63,0
13,Super Rare,S11/S11,鬼火と魍魎の決断,Perfect Ogrelord,Darkness/Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Perfect_Ogrelord,220,1.91,0
14,Very Rare,1/76,正義の逆転撃,Justice's Counterattack,Light,DM24-RP3,https://duelmasters.fandom.com/wiki/Justice%27s_Counterattack,80,0.7,0
15,Very Rare,2/76,爆藍月スケルハンター,"Skullhunter, Violent Blue Moon",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Skullhunter,_Violent_Blue_Moon",320,2.78,0
16,Very Rare,3/76,自由の逆転撃,Liberty's Counterattack,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Liberty%27s_Counterattack,80,0.7,0
17,Very Rare,4/76,暴淵ボウチ＝トートロット,"Bouchi = Totorot, Violent Abyss",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Bouchi_%3D_Totorot,_Violent_Abyss",120,1.04,0
18,Very Rare,5/76,深淵の逆転撃,Abyssal Counterattack,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Abyssal_Counterattack,980,8.53,0
19,Very Rare,6/76,ヨビニオン・フレイムバーン,Yobinion Flameburn,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Flameburn,420,3.65,0
20,Very Rare,7/76,伝説の逆転撃,Legend's Counterattack,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Legend%27s_Counterattack,120,1.04,0
21,Very Rare,8/76,九番龍ジゴクバンカーPar459,"Jigokubunker Par 459, Ninth Dragon",Nature,DM24-RP3,"https://duelmasters.fandom.com/wiki/Jigokubunker_Par_459,_Ninth_Dragon",120,1.04,0
22,Very Rare,9/76,情熱の逆転撃,Passion's Counterattack,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Passion%27s_Counterattack,180,1.57,0
23,Very Rare,10/76,プリンセス・パーティ ～シラハの絆～,Princess Party ~Bond of Shiraha~,Light/Water/Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Princess_Party_~Bond_of_Shiraha~,320,2.78,0
24,Very Rare,11/76,邪心臓の魔法陣,Magic Circle of the Wicked Heart,Water/Darkness/Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Magic_Circle_of_the_Wicked_Heart,780,6.79,0
25,Rare,12/76,ベイビーポンの助,Babyponnosuke,Colourless,DM24-RP3,https://duelmasters.fandom.com/wiki/Babyponnosuke,220,1.91,0
26,Rare,13/76,逆転の使徒エストール,"Estol, Vizier of Reversal",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Estol,_Vizier_of_Reversal",80,0.7,0
27,Rare,14/76,光神龍アヴァタール,"Avatar, Light Divine Dragon",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Avatar,_Light_Divine_Dragon",80,0.7,0
28,Rare,15/76,ゴールド・フラウム,Gold Flavum,Light,DM24-RP3,https://duelmasters.fandom.com/wiki/Gold_Flavum,120,1.04,0
29,Rare,16/76,アクア・ギャクテンポインター,Aqua Gyakutenpointer,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Aqua_Gyakutenpointer,80,0.7,0
30,Rare,17/76,ヨビニオン・クロウラー,Yobinion Crawler,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Crawler,80,0.7,0
31,Rare,18/76,響乱の不死帝ブルース,"Bruce, Thrill or Live",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Bruce,_Thrill_or_Live",80,0.7,0
32,Rare,19/76,逆転の影ガレック,"Galek, Shadow of Reversal",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Galek,_Shadow_of_Reversal",500,4.35,0
33,Rare,20/76,ティンパニ＝シンバリー,Timpani = Simbarry,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Timpani_%3D_Simbarry,120,1.04,0
34,Rare,21/76,メトロ＝トロノーム,Metro = Tronomu,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Metro_%3D_Tronomu,120,1.04,0
35,Rare,22/76,逆転兵ウインドアックス,"Wind Axe, Reversal Warrior",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Wind_Axe,_Reversal_Warrior",80,0.7,0
36,Rare,23/76,爆紅月ボルカノドン,"Volcanodon, Violent Crimson Moon",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Volcanodon,_Violent_Crimson_Moon",80,0.7,0
37,Rare,24/76,ロック・ポロン,Rock Pollon,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Rock_Pollon,120,1.04,0
38,Rare,25/76,逆転の剣スカイソード,Counterattack Skysword,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Counterattack_Skysword,120,1.04,0
39,Rare,26/76,爆翠月モスキート,"Mosquito, Violent Green Moon",Nature,DM24-RP3,"https://duelmasters.fandom.com/wiki/Mosquito,_Violent_Green_Moon",80,0.7,0
40,Rare,27/76,ヨビニオン・トライブ,Yobinion Tribe,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Tribe,120,1.04,0
41,Uncommon,28/76,ドリーム・ザ・シルバー,Dream the Silver,Colourless,DM24-RP3,https://duelmasters.fandom.com/wiki/Dream_the_Silver,50,0.43,0
42,Uncommon,29/76,金天使ドル・ゴルギーニ,"Dol Gorghini, Goldangel",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Dol_Gorghini,_Goldangel",50,0.43,0
43,Uncommon,30/76,新星姫マルシアス,"Marshias, Nova Princess",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Marshias,_Nova_Princess",50,0.43,0
44,Uncommon,31/76,ゴールド・ウィリデ,Gold Viride,Light,DM24-RP3,https://duelmasters.fandom.com/wiki/Gold_Viride,50,0.43,0
45,Uncommon,32/76,覚醒の使徒モージ,"Moji, Vizier of Awakening",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Moji,_Vizier_of_Awakening",50,0.43,0
46,Uncommon,33/76,寒さ知らずのムサムー,"Musamu, One Who Does Not Know Cold",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Musamu,_One_Who_Does_Not_Know_Cold",50,0.43,0
47,Uncommon,34/76,ヨビニオン・スナイパー,Yobinion Sniper,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Sniper,50,0.43,0
48,Uncommon,35/76,爆藍月ファンタジー,"Fantasy, Violent Blue Moon",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Fantasy,_Violent_Blue_Moon",50,0.43,0
49,Uncommon,36/76,パシフィック・ヒーロー,Pacific Hero,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Pacific_Hero,50,0.43,0
50,Uncommon,37/76,ツイン・シックス,Twin Six,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Twin_Six,80,0.7,0
51,Uncommon,38/76,♪楽楽楽楽楽楽楽楽楽楽,♪ Rakurakuraku Rakurakurakuraku Rakurakuraku,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/%E2%99%AA_Rakurakuraku_Rakurakurakuraku_Rakurakuraku,50,0.43,0
52,Uncommon,39/76,暴淵ボウマ＝ダンマ,"Bouma = Dhamma, Violent Abyss",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Bouma_%3D_Dhamma,_Violent_Abyss",50,0.43,0
53,Uncommon,40/76,ホルン＝ストロン,Horn = Stron,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Horn_%3D_Stron,50,0.43,0
54,Uncommon,41/76,不吉秘宝コーデン,"Corden, the Hidden Ominous",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Corden,_the_Hidden_Ominous",50,0.43,0
55,Uncommon,42/76,スコア＝ラギルップ,Score = Ragirup,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Score_%3D_Ragirup,50,0.43,0
56,Uncommon,43/76,オンサ＝マンサー,Onsa = Mansa,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Onsa_%3D_Mansa,50,0.43,0
57,Uncommon,44/76,爆紅月ティラノス,"Tyrannos, Violent Crimson Moon",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Tyrannos,_Violent_Crimson_Moon",50,0.43,0
58,Uncommon,45/76,ヨビニオン・ガッツンダー,Yobinion Gatsundar,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Gatsundar,50,0.43,0
59,Uncommon,46/76,空奏力ナイン,"Nine, Air Air",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Nine,_Air_Air",50,0.43,0
60,Uncommon,47/76,アニー・笛・ルピア,Annie Whist Lupia,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Annie_Whist_Lupia,50,0.43,0
61,Uncommon,48/76,ヨビニオン・トーテム,Yobinion Totem,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Yobinion_Totem,50,0.43,0
62,Uncommon,49/76,爆翠月ドリアン,"Durian, Violent Green Moon",Nature,DM24-RP3,"https://duelmasters.fandom.com/wiki/Durian,_Violent_Green_Moon",50,0.43,0
63,Uncommon,50/76,大玉の妖精,Ballroll Faerie,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Ballroll_Faerie,50,0.43,0
64,Uncommon,51/76,緑狩の爪,Rock'n Mole Grind,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Rock%27n_Mole_Grind,50,0.43,0
65,Common,52/76,万能バンノー,"Banno, All-rounder",Colourless,DM24-RP3,"https://duelmasters.fandom.com/wiki/Banno,_All-rounder",80,0.7,0
66,Common,53/76,福音の精霊ゴルドランコイン,"Gordrancoin, Gospel Elemental",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Gordrancoin,_Gospel_Elemental",30,0.26,0
67,Common,54/76,光喜コエル,"Koel, Joyful Light",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Koel,_Joyful_Light",30,0.26,0
68,Common,55/76,星姫械ウェビキオン,"Webikion, Primachine",Light,DM24-RP3,"https://duelmasters.fandom.com/wiki/Webikion,_Primachine",30,0.26,0
69,Common,56/76,ゴルドラン・スパーク,Gordran Spark,Light,DM24-RP3,https://duelmasters.fandom.com/wiki/Gordran_Spark,30,0.26,0
70,Common,57/76,芸馬猫刄 スゴローニャ,"Sugoronya, Geima Cat Sword",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Sugoronya,_Geima_Cat_Sword",30,0.26,0
71,Common,58/76,楽識コフミ,"Kofumi, Enjoyable Knowledge",Water,DM24-RP3,"https://duelmasters.fandom.com/wiki/Kofumi,_Enjoyable_Knowledge",30,0.26,0
72,Common,59/76,キング・オルカディス,King Orcadis,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/King_Orcadis,30,0.26,0
73,Common,60/76,タイニー・クリル,Tiny Krill,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/Tiny_Krill,30,0.26,0
74,Common,61/76,♪2×2-4×5+17=1,♪2x2-4x5+17=1,Water,DM24-RP3,https://duelmasters.fandom.com/wiki/%E2%99%AA2x2-4x5%2B17%3D1,30,0.26,0
75,Common,62/76,黒神龍スカルシューム,Necrodragon Skullcium,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Necrodragon_Skullcium,30,0.26,0
76,Common,63/76,倍掘人形ニモドース,"Nemodos, Double Digging Doll",Darkness,DM24-RP3,"https://duelmasters.fandom.com/wiki/Nemodos,_Double_Digging_Doll",50,0.43,0
77,Common,64/76,オペラグラス＝ドクラス,Operaglass = Doclass,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Operaglass_%3D_Doclass,50,0.43,0
78,Common,65/76,ド:コータ,Do:Kota,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Do:Kota,30,0.26,0
79,Common,66/76,天邪羅数,Danger Wrath,Darkness,DM24-RP3,https://duelmasters.fandom.com/wiki/Danger_Wrath,30,0.26,0
80,Common,67/76,ボルシャック・デュアルショック,Bolshack Dual Shock,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Bolshack_Dual_Shock,30,0.26,0
81,Common,68/76,迫撃兵ショウマ,"Shouma, Artillery Warrior",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Shouma,_Artillery_Warrior",30,0.26,0
82,Common,69/76,炎怒コアゲ,"Koage, Flaming Anger",Fire,DM24-RP3,"https://duelmasters.fandom.com/wiki/Koage,_Flaming_Anger",30,0.26,0
83,Common,70/76,ダック・アヒッチ,Duck Ahicchi,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Duck_Ahicchi,30,0.26,0
84,Common,71/76,最期の竜炎,Dragon's High,Fire,DM24-RP3,https://duelmasters.fandom.com/wiki/Dragon%27s_High,80,0.7,0
85,Common,72/76,振回転の超人,Fullspinning Giant,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Fullspinning_Giant,30,0.26,0
86,Common,73/76,継走の妖精,Relay Faerie,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Relay_Faerie,80,0.7,0
87,Common,74/76,シェル・アルカザール,Shell Alcazar,Nature,DM24-RP3,https://duelmasters.fandom.com/wiki/Shell_Alcazar,80,0.7,0
88,Common,75/76,哀樹コシン,"Koshin, Sorrowful Tree",Nature,DM24-RP3,"https://duelmasters.fandom.com/wiki/Koshin,_Sorrowful_Tree",30,0.26,0
