No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
1,Over Rare,OR1/OR2,アビスベル=覇=ロード,Abyssbell = Death = Road,Darkness/Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/Abyssbell_%3D_Death_%3D_Road,180,1.57,0
2,Over Rare,OR2/OR2,芸魔王将カクメイジン,"Kakumeijin, Geima King Dragon",Water/Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Kakumeijin,_Geima_King_Dragon",180,1.57,0
3,Super Rare,S1/S8,ボルシャック・アークゼオスNEX,Bolshack Arczeos NEX,Light,DM23-RP3,https://duelmasters.fandom.com/wiki/Bolshack_Arczeos_NEX,220,1.91,0
4,Super Rare,S2/S8,五番龍レイクポーチャーParZero,"Lakepoacher Par Zero, Fifth Dragon",Water,DM23-RP3,"https://duelmasters.fandom.com/wiki/Lakepoacher_Par_Zero,_Fifth_Dragon",420,3.65,0
5,Super Rare,S3/S8,アーテル・ゴルギーニ,Ater Gorghini,Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Ater_Gorghini,2780,24.19,0
6,Super Rare,S4/S8,Napo獅子-Vi無粋,"Napoleon Vibes / ♪ Listen to my song, if you don't listen, we'll fight",Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Napoleon_Vibes_/_%E2%99%AA_Listen_to_my_song,_if_you_don%27t_listen,_we%27ll_fight",320,2.78,0
7,Super Rare,S5/S8,ア:エヌ:マクア,A:Enu:Makua,Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/A:Enu:Makua,500,4.35,0
8,Super Rare,S6/S8,千羽忍革ボジソワカ,"Bojisowaka, Thousand Feather Ninja Change",Light/Darkness,DM23-RP3,"https://duelmasters.fandom.com/wiki/Bojisowaka,_Thousand_Feather_Ninja_Change",180,1.57,0
9,Super Rare,S7/S8,輝く革命ボルシャック・フレア,"Bolshack Flare, Shining Revolution",Light/Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Bolshack_Flare,_Shining_Revolution",180,1.57,0
10,Super Rare,S8/S8,銀河竜ゴルファンタジスタ,Galactica Golfantasista,Water/Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/Galactica_Golfantasista,180,1.57,0
11,Very Rare,1/74,「心」の頂天プロフェシー,"Prophecy, Heavenly Zenith of ""Heart""",Colourless,DM23-RP3,"https://duelmasters.fandom.com/wiki/Prophecy,_Heavenly_Zenith_of_%22Heart%22",120,1.04,0
12,Very Rare,2/74,堕カオスマントラ,"Chaosmantra, Fallen",Darkness,DM23-RP3,"https://duelmasters.fandom.com/wiki/Chaosmantra,_Fallen",120,1.04,0
13,Very Rare,3/74,セラフ・テンペストℵ,Seraph Tempest Aleph,Light/Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Seraph_Tempest_Aleph,120,1.04,0
14,Very Rare,4/74,禁呪と聖句の決断,Perfect Oratoriocles,Light/Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Perfect_Oratoriocles,120,1.04,0
15,Very Rare,5/74,飛ぶ革命ヴァル・ボルシャック,"Val Bolshack, Flying Revolution",Light/Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Val_Bolshack,_Flying_Revolution",320,2.78,0
16,Very Rare,6/74,芸魔隠狐カラクリバーシ,"Karakureversi, Geima Treacherous Fox",Water/Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Karakureversi,_Geima_Treacherous_Fox",180,1.57,0
17,Very Rare,7/74,チアスペース アカネ,"Akane, Cheer Space",Water/Nature,DM23-RP3,"https://duelmasters.fandom.com/wiki/Akane,_Cheer_Space",180,1.57,0
18,Very Rare,8/74,フォック=ザ=ダーティ,Fock = The = Dirty,Darkness/Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/Fock_%3D_The_%3D_Dirty,120,1.04,0
19,Rare,9/74,蜘紙の聖沌kum0,"Kumo, Spider Paper Holy Chaos / Mechafubuki no Jutsu, Holy Chaos Ninpo",Light,DM23-RP3,"https://duelmasters.fandom.com/wiki/Kumo,_Spider_Paper_Holy_Chaos_/_Mechafubuki_no_Jutsu,_Holy_Chaos_Ninpo",80,0.7,0
20,Rare,10/74,ピース・盾・ルピア,Peace Parry Lupia,Light,DM23-RP3,https://duelmasters.fandom.com/wiki/Peace_Parry_Lupia,120,1.04,0
21,Rare,11/74,ポッピ・冠・ラッキー,Poppi Crown Lucky,Light,DM23-RP3,https://duelmasters.fandom.com/wiki/Poppi_Crown_Lucky,320,2.78,0
22,Rare,12/74,踊戯音愛パステル,"Pastel, Dancing Music Love / ♪ Mysterious Magical Prison Kinkirarin",Water,DM23-RP3,"https://duelmasters.fandom.com/wiki/Pastel,_Dancing_Music_Love_/_%E2%99%AA_Mysterious_Magical_Prison_Kinkirarin",80,0.7,0
23,Rare,13/74,同期の妖精,Synchro Faerie / Dokidoki Spiral,Water,DM23-RP3,https://duelmasters.fandom.com/wiki/Synchro_Faerie_/_Dokidoki_Spiral,320,2.78,0
24,Rare,14/74,海底の超人,Duffley Giant,Water,DM23-RP3,https://duelmasters.fandom.com/wiki/Duffley_Giant,80,0.7,0
25,Rare,15/74,好詠音愛クロカミ,"Kurokami, Like Reading Music Love",Water,DM23-RP3,"https://duelmasters.fandom.com/wiki/Kurokami,_Like_Reading_Music_Love",80,0.7,0
26,Rare,16/74,トング＝ゴング,"Tong = Kong / ""Shall I let you take over the world?""",Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Tong_%3D_Kong_/_%22Shall_I_let_you_take_over_the_world%3F%22,80,0.7,0
27,Rare,17/74,信眼! ジェンゲガーvs.シェケダン,Believe Eyes! Jengegger vs. Shakedown,Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Believe_Eyes!_Jengegger_vs._Shakedown,80,0.7,0
28,Rare,18/74,ヴァイオシロン-C6,Viochiron-C6,Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Viochiron-C6,80,0.7,0
29,Rare,19/74,蜂紙の聖沌h4ch1,"Hachi, Wasp Paper Holy Chaos",Darkness,DM23-RP3,"https://duelmasters.fandom.com/wiki/Hachi,_Wasp_Paper_Holy_Chaos",80,0.7,0
30,Rare,20/74,ボルゼラス・ドラゴン,"Bolzelas Dragon / ""I can't be stopped on the path I'm going.""",Fire,DM23-RP3,https://duelmasters.fandom.com/wiki/Bolzelas_Dragon_/_%22I_can%27t_be_stopped_on_the_path_I%27m_going.%22,80,0.7,0
31,Rare,21/74,満韻炎霊キャノンボール,"Cannonball, Ifrit Frit / ♪ Summer Grass, By Ifrit, Trace of Dream",Fire,DM23-RP3,"https://duelmasters.fandom.com/wiki/Cannonball,_Ifrit_Frit_/_%E2%99%AA_Summer_Grass,_By_Ifrit,_Trace_of_Dream",80,0.7,0
32,Rare,22/74,Eineのマイク,Eine's Mike,Fire,DM23-RP3,https://duelmasters.fandom.com/wiki/Eine%27s_Mike,80,0.7,0
33,Rare,23/74,弓道の妖精,Archery Faerie / Dokkyun Shot,Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/Archery_Faerie_/_Dokkyun_Shot,80,0.7,0
34,Rare,24/74,ア:グンテ,A:Gunte,Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/A:Gunte,80,0.7,0
35,Rare,25/74,運明! ベリアvs.キャディ,Luck Bright! Velia vs. Caddy,Nature,DM23-RP3,https://duelmasters.fandom.com/wiki/Luck_Bright!_Velia_vs._Caddy,80,0.7,0
36,Rare,26/74,ボルシャックの古代神殿,Bolshack's Ancient Shrine,Light/Fire,DM23-RP3,https://duelmasters.fandom.com/wiki/Bolshack%27s_Ancient_Shrine,80,0.7,0
37,Uncommon,27/74,強撃の鎧徒エッカルト,"Ekkart, Strong Strike Armored Soldier / Warning Shot",Light,DM23-RP3,"https://duelmasters.fandom.com/wiki/Ekkart,_Strong_Strike_Armored_Soldier_/_Warning_Shot",50,0.43,0
38,Uncommon,28/74,蠍紙の聖沌5450r1,"Sasori, Scorpion Paper Holy Chaos",Light,DM23-RP3,"https://duelmasters.fandom.com/wiki/Sasori,_Scorpion_Paper_Holy_Chaos",50,0.43,0
39,Uncommon,29/74,富力!ルベル&フォース,Wealth Power! Rubel and Force,Light,DM23-RP3,https://duelmasters.fandom.com/wiki/Wealth_Power!_Rubel_and_Force,50,0.43,0
40,Uncommon,30/74,淡いと濃いケローラ,"Kerora, Pop Cola / ♪ A Thin Frog, Don't Lose Kerora, Spiral",Water,DM23-RP3,"https://duelmasters.fandom.com/wiki/Kerora,_Pop_Cola_/_%E2%99%AA_A_Thin_Frog,_Don%27t_Lose_Kerora,_Spiral",80,0.7,0
41,Uncommon,31/74,声凄音愛オダンゴ,"Odango, Voice Great Music Love / ♪ In front of my shout, Everyone Quiet",Water,DM23-RP3,"https://duelmasters.fandom.com/wiki/Odango,_Voice_Great_Music_Love_/_%E2%99%AA_In_front_of_my_shout,_Everyone_Quiet",50,0.43,0
42,Uncommon,32/74,十響!Drache&オービー,Tenth Sound! Drache and Orbi,Water,DM23-RP3,https://duelmasters.fandom.com/wiki/Tenth_Sound!_Drache_and_Orbi,50,0.43,0
43,Uncommon,33/74,激光魚,Penlight Fish,Water,DM23-RP3,https://duelmasters.fandom.com/wiki/Penlight_Fish,50,0.43,0
44,Uncommon,34/74,蛙紙の聖沌fr09,"Frog, Frog Paper Holy Chaos / Mechayose no Jutsu, Holy Chaos Ninpo",Darkness,DM23-RP3,"https://duelmasters.fandom.com/wiki/Frog,_Frog_Paper_Holy_Chaos_/_Mechayose_no_Jutsu,_Holy_Chaos_Ninpo",50,0.43,0
45,Uncommon,35/74,ミル=ミルアミール,Mill = Milamiele,Darkness,DM23-RP3,https://duelmasters.fandom.com/wiki/Mill_%3D_Milamiele,50,0.43,0
